id,name,phone,email,city,address,lat,lng,is_verified,total_capacity,available_spots,waitlist_length_months,care_type_offered,educational_approach,price_month,next_opening,contact_method,google_map_review,user_ratings_total
435f3c39-ad70-5786-a6b9-67ea894315b2,Little Munchkin Daycare,(604) 655-1895,hello@littlemunchkindaycare.ca,VANCOUVER,"3750 W 29th Ave, Vancouver, BC V6S 1T4, Canada",49.2459427,-123.1873878,False,34,0,11,['Under 36 Months'],Montessori,1675,2026-05-11,phone_only,5.0,31
9df4eb88-cad6-5805-bcc1-b0afe5b1384c,Little Munchkin Daycare,(604) 655-1895,hello@littlemunchkindaycare.ca,VANCOUVER,"1319 W 52nd Ave, Vancouver, BC V6P 1L1, Canada",49.22423939999999,-123.135698,True,18,0,15,"['Preschool', '30 Months to 5 Years']",Play-based,1286,2026-08-25,email_only,4.7,82
848c008e-e1b9-596b-8aeb-338c899b445e,Happy House Learning Center,(604) 721-5169,,VANCOUVER,"2105 W 19th Ave, Vancouver, BC V6L 1C1, Canada",49.2554903,-123.1533441,True,50,0,8,['Under 36 Months'],Reggio Emilia,1191,2026-07-03,email_only,5.0,18
427496ae-2f6a-56bb-915e-ba799dd2a441,Learn and play daycare,(778) 551-1372,hello@learnandplaydaycare.ca,VANCOUVER,"111 E 47th Ave, Vancouver, BC V5W 2A6, Canada",49.2278258,-123.1033618,True,34,0,14,"['School Age', 'Preschool']",Montessori,1391,2026-08-25,email_only,5.0,4
b265a4e6-24d9-5859-935a-f50b21e44a45,Blooming Minds Daycare,(236) 513-9786,hello@bloomingmindsdaycare.ca,VANCOUVER,"3935 W 19th Ave, Vancouver, BC V6S 1C9, Canada",49.2558663,-123.191861,True,16,3,0,"['School Age', 'Under 36 Months', 'Preschool']",Play-based,1106,,email_only,5.0,15
71769199-bd6c-57fe-b3d6-3063c70c97d1,Bright Future Family Childcare,(778) 883-2304,hello@brightfuturefamilychildcare.ca,VANCOUVER,"6497 Sophia St, Vancouver, BC V5W 2W9, Canada",49.225784,-123.0999201,False,12,1,0,"['Under 36 Months', '30 Months to 5 Years', 'Preschool']",Academic,1647,,both,5.0,16
3c8fe4e4-f376-591c-953f-60a422801de2,Discover Possibilities Childcare Centre,(604) 336-6488,hello@discoverpossibilitieschildcarecentre.ca,VANCOUVER,"3192 Queens Ave, Vancouver, BC V5R 4T5, Canada",49.2424111,-123.0394415,False,23,0,12,"['Preschool', 'School Age']",,1701,2026-08-11,phone_only,5.0,22
64480235-5868-5a9c-b8d7-40ef45de2ab4,Little Munchkin Daycare,(604) 655-1895,,VANCOUVER,"1068 W 29th Ave, Vancouver, BC V6H 2E3, Canada",49.2452078,-123.1288086,True,15,0,10,"['Preschool', 'Under 36 Months', '30 Months to 5 Years']",,1377,2026-07-22,both,4.8,18
c2c3d900-5000-5145-97d3-18fb65c0f103,Little Munchkin Daycare,(604) 655-1895,hello@littlemunchkindaycare.ca,VANCOUVER,"2205 W 15th Ave, Vancouver, BC V6K 2Y6, Canada",49.2584936,-123.1557694,False,38,0,9,"['Under 36 Months', 'School Age', 'Preschool']",Reggio Emilia,1322,2026-04-22,email_only,5.0,1
dce71aa5-4336-5c4b-ac95-c54da50314a2,Nana Licensed Daycare,(604) 367-5728,,VANCOUVER,"518 E 59th Ave, Vancouver, BC V5X 1Y3, Canada",49.2163506,-123.0938121,True,24,0,11,"['Under 36 Months', 'Preschool']",,1235,2026-06-04,both,4.9,27
cc43a5d2-cd0a-5986-827f-9a64e2136ee4,Westcoast Child Care Resource Centre,(604) 709-5661,hello@westcoastchildcareresourcecentre.ca,VANCOUVER,"2772 E Broadway, Vancouver, BC V5M 1Y8, Canada",49.2615872,-123.0481226,True,13,3,0,"['School Age', 'Under 36 Months']",Montessori,1751,,email_only,4.8,31
065e94ed-ea29-54b3-ae48-79422b04fc6b,Little Wonderland Childcare,(778) 885-9386,,VANCOUVER,"7767 12th Ave, Burnaby, BC V3N 2K6, Canada",49.2191412,-122.9326008,False,44,0,22,"['Preschool', 'School Age', 'Under 36 Months']",,1108,2026-07-12,email_only,5.0,12
f08bce84-c63c-505d-a739-6f985ee80194,Little Oak Montessori,(778) 928-8635,,VANCOUVER,"708 W 62nd Ave, Vancouver, BC V5Z 3M4, Canada",49.21398740000001,-123.1209185,False,43,0,23,"['Under 36 Months', '30 Months to 5 Years']",Montessori,1494,2026-07-23,phone_only,5.0,38
77124b25-5c50-53c1-9078-08075d482636,Fraser Montessori Children's House,(778) 996-0590,,VANCOUVER,"Ebenezer Baptist Education Building, 6858 Fraser St, Vancouver, BC V5X 3V1, Canada",49.2222962,-123.0899342,True,34,0,17,"['Preschool', '30 Months to 5 Years', 'School Age']",Reggio Emilia,1438,2026-05-30,email_only,5.0,22
2f25a23c-a9ab-55c3-a581-fa85a81f2be1,Learning Tree Day Care,(604) 874-4921,hello@learningtreedaycare.ca,VANCOUVER,"4103 Brant St, Vancouver, BC V5N 5B5, Canada",49.248659,-123.0582135,False,34,0,7,"['30 Months to 5 Years', 'Under 36 Months']",,1164,2026-04-02,both,5.0,3
99af1320-bece-563e-9811-07f23d920e1c,Pebbles and Piaget Early Learning Kingsway,(604) 620-3121,hello@pebblesandpiagetearlylearningkingsway.ca,VANCOUVER,"3550 Kingsway, Vancouver, BC V5R 5X4, Canada",49.23190630000001,-123.0276714,False,26,0,22,"['School Age', 'Preschool']",,1774,2026-07-14,email_only,4.6,61
0601d873-ad76-5df1-9ab8-9cb380a11016,Lovey Little Angels Childcare 24-hour Licensed Child-Care In Vancouver,(604) 215-2214,hello@loveylittleangelschildcare24-hourlicensedchild-careinvancouver.ca,VANCOUVER,"5761 Chester St, Vancouver, BC V5W 3B4, Canada",49.2322969,-123.0896015,False,25,3,0,"['30 Months to 5 Years', 'Preschool']",Reggio Emilia,1320,,phone_only,5.0,9
f765a386-e96b-565e-a446-176b0d4ccef7,YWCA Emma's Early Learning,(604) 879-1121,,VANCOUVER,"3839 Carolina St, Vancouver, BC V5V 0A3, Canada",49.2508391,-123.0924374,False,48,0,21,"['Preschool', '30 Months to 5 Years', 'School Age']",Academic,1593,2026-04-04,email_only,3.8,4
7c81ea12-8665-5656-bcca-c5bf6161838d,Mini Meadow Childcare,(604) 568-1111,hello@minimeadowchildcare.ca,VANCOUVER,"2773 E 46th Ave, Vancouver, BC V5R 3C4, Canada",49.22867549999999,-123.048705,True,23,2,0,"['Preschool', '30 Months to 5 Years']",Montessori,1496,,email_only,5.0,2
193adb47-ba87-5cc6-9e18-92db6788acc5,Galaxy Daycare Centre,(604) 218-4961,,VANCOUVER,"8187 Woodlake Ct, Burnaby, BC V5A 3P3, Canada",49.25007799999999,-122.9266497,False,17,2,0,"['30 Months to 5 Years', 'School Age']",,1678,,phone_only,5.0,33
b1d3a7cd-9892-58b5-a4e3-eb37d09372bb,Little Town Childcare Centre,(604) 729-6655,hello@littletownchildcarecentre.ca,VANCOUVER,"7480 Broadway, Burnaby, BC V5A 1S4, Canada",49.2610474,-122.9457468,True,45,0,20,"['30 Months to 5 Years', 'Preschool']",Play-based,1470,2026-07-15,email_only,5.0,9
c48fb551-aba8-5065-b46d-2e2799c15891,Little Munchkin Daycare,(604) 655-1895,hello@littlemunchkindaycare.ca,VANCOUVER,"1469 Balfour Ave, Vancouver, BC V6H 1X9, Canada",49.2522391,-123.1377363,False,28,3,0,"['Under 36 Months', 'Preschool', 'School Age']",Academic,1339,,email_only,4.9,10
5ef2cf5f-15af-53d9-8ae0-544613a9c6fc,Harbour View Daycare Centre,(604) 254-5233,hello@harbourviewdaycarecentre.ca,VANCOUVER,"540 N Penticton St, Vancouver, BC V5K 3W9, Canada",49.2905408,-123.0516616,False,12,0,8,"['School Age', '30 Months to 5 Years', 'Under 36 Months']",Academic,1666,2026-05-21,phone_only,5.0,3
ddbbeb39-f23c-5f45-baab-4814a7087f89,Willowbrae Childcare Academy River District,(778) 379-9010,hello@willowbraechildcareacademyriverdistrict.ca,VANCOUVER,"8543 River District Crossing #200, Vancouver, BC V5S 0C8, Canada",49.206207,-123.0311988,False,15,0,16,"['Preschool', '30 Months to 5 Years']",Reggio Emilia,1790,2026-04-10,both,4.6,50
8a6f5fd7-1c5f-55ee-95dd-155c7c37e75a,MA Montessori Daycare & Preschool,(236) 986-9760,,VANCOUVER,"3078 Renfrew St, Vancouver, BC V5M 3M7, Canada",49.2566565,-123.0438073,True,18,0,6,"['30 Months to 5 Years', 'School Age', 'Preschool']",Play-based,1114,2026-08-22,email_only,5.0,12
dafbaf90-f774-5590-a886-374f09c3ed99,Sunrise In-Home Multiage Child Care Inc.,(604) 561-4084,hello@sunrisein-homemultiagechildcareinc..ca,VANCOUVER,"5638 Rupert St, Vancouver, BC V5R 2K5, Canada",49.23361209999999,-123.0427288,True,21,0,8,"['Preschool', '30 Months to 5 Years', 'School Age']",Academic,1692,2026-06-22,both,5.0,4
5d43a16b-09bd-566b-9271-3c7f4da1e586,Les Petits Artistes Montessori Centre,(604) 569-1206,hello@lespetitsartistesmontessoricentre.ca,VANCOUVER,"3146 Ash St, Vancouver, BC V5Z 3C9, Canada",49.2575807,-123.1173859,True,16,0,19,"['30 Months to 5 Years', 'Under 36 Months']",Play-based,1469,2026-05-31,phone_only,4.9,39
e1ab91f5-9cef-5457-9c4d-e0a75627db17,Little Children Family Daycare,(604) 431-1918,hello@littlechildrenfamilydaycare.ca,VANCOUVER,"5655 Cedarwood St, Burnaby, BC V5G 2K7, Canada",49.2410195,-122.9810811,False,48,0,14,"['Preschool', 'Under 36 Months']",Montessori,1273,2026-05-27,email_only,4.5,14
a5475c2c-74d6-5b63-be2e-fa16a2f91309,First Ave Child Care,(778) 839-9999,hello@firstavechildcare.ca,VANCOUVER,"162 Walter Hardwick Ave, Vancouver, BC V5Y 0A7, Canada",49.2707047,-123.1081591,True,32,0,22,"['Under 36 Months', 'School Age']",Reggio Emilia,1127,2026-08-05,email_only,5.0,7
65bcfc7d-12e0-5ea1-a2aa-85c7ddef6a31,Appu Child Care- Vancouver Daycare,(604) 322-7433,hello@appuchildcare-vancouverdaycare.ca,VANCOUVER,"616 E 48th Ave, Vancouver, BC V5W 2E6, Canada",49.2263394,-123.0923268,True,26,0,7,"['30 Months to 5 Years', 'School Age']",Reggio Emilia,1423,2026-06-17,both,5.0,13
